Model,RMSE,MAE,R2_Score,Train_RMSE,RMSE_Gap,Fit_Status,Selection_Score,Is_Best_Model
Ridge Regression,29.13456411475042,21.70024581047184,0.32810637861020997,41.44891813010174,-12.314354015351316,ok,29.13456411475042,True
Random Forest,33.69566987356541,24.89478228926437,0.10116403284436548,37.26613273602541,-3.5704628624600048,ok,33.69566987356541,False
XGBoost,33.98608169599419,24.558312506505796,0.08512714218534256,40.00589024765012,-6.0198085516559345,ok,33.98608169599419,False
PyTorch MLP,30.53590560620813,23.380896493344068,0.2643238251666386,43.97007976850211,-13.434174162293981,ok,30.53590560620813,False
