date,us_aqi,us_aqi_max,us_aqi_std,pm2_5,pm10,co,no2,o3,aqi,day_of_week,month,is_weekend,aqi_lag_1d,aqi_lag_3d,aqi_lag_7d,aqi_rolling_3d,aqi_rolling_7d,pm25_rolling_7d,pm10_rolling_7d,co_rolling_7d,aqi_change_1d,aqi_change_3d
2024-06-01,141.88750000000002,189.9,33.984309838768105,62.08708333333333,196.28875000000002,356.31708333333336,9.53625,77.96333333333332,141.88750000000002,5,6,1,138.85,106.66666666666667,82.175,134.79305555555555,115.15297619047621,43.758452380952384,134.84845238095238,366.012380952381,3.0375000000000227,35.220833333333346
2024-06-02,80.86666666666666,91.3,8.757042714378487,25.12708333333333,97.57333333333334,344.77250000000004,7.611666666666667,45.77708333333334,80.86666666666666,6,6,1,141.88750000000002,123.64166666666667,91.14166666666667,120.53472222222223,113.68511904761905,43.03589285714286,132.06857142857143,371.9130952380952,-61.02083333333336,-42.775000000000006
2024-06-03,65.20416666666667,69.6,2.447088628068713,16.723333333333333,71.91458333333334,292.06333333333333,4.156666666666667,39.86166666666667,65.20416666666667,0,6,0,80.86666666666666,138.85,96.46249999999999,95.98611111111113,109.21964285714284,40.70249999999999,126.21083333333334,369.40982142857143,-15.662499999999994,-73.64583333333333
2024-06-04,66.93333333333334,73.0,3.815490927062048,17.655833333333334,77.295,267.44666666666666,3.313333333333333,41.23166666666667,66.93333333333334,1,6,0,65.20416666666667,141.88750000000002,107.42083333333333,71.00138888888888,103.43571428571428,37.796130952380956,120.24041666666668,366.8666666666667,1.7291666666666714,-74.95416666666668
2024-06-05,68.02083333333333,70.4,1.770035412730161,18.2375,77.69333333333333,267.0275,3.6658333333333335,41.42666666666667,68.02083333333333,2,6,0,66.93333333333334,80.86666666666666,106.66666666666667,66.71944444444443,97.91488095238095,34.998690476190475,115.57755952380953,362.1377380952381,1.0874999999999915,-12.845833333333331
2024-06-06,57.275,65.3,3.9622402534534626,12.469583333333333,51.95208333333333,301.65875,5.7775,35.73375,57.275,3,6,0,68.02083333333333,65.20416666666667,123.64166666666667,64.07638888888889,88.43392857142858,30.350535714285712,105.14273809523809,340.24291666666664,-10.74583333333333,-7.929166666666667
2024-06-07,59.583333333333336,62.9,1.4837281676110075,13.706666666666665,57.364583333333336,314.7325,6.4504166666666665,31.485416666666666,59.583333333333336,4,6,0,57.275,66.93333333333334,138.85,61.62638888888889,77.11011904761904,23.715297619047618,90.01166666666667,306.28833333333336,2.308333333333337,-7.350000000000001
2024-06-08,62.833333333333336,66.2,1.9302323957102354,15.4475,64.08375,275.09458333333333,3.9766666666666666,36.85125,62.833333333333336,5,6,1,59.583333333333336,68.02083333333333,141.88750000000002,59.89722222222222,65.81666666666666,17.0525,71.12523809523809,294.6851190476191,3.25,-5.187499999999993
2024-06-09,61.083333333333336,65.1,2.5944198759556265,14.50875,57.63833333333333,268.97499999999997,3.942083333333333,40.44166666666667,61.083333333333336,6,6,1,62.833333333333336,57.275,80.86666666666666,61.166666666666664,62.990476190476194,15.535595238095238,65.42023809523809,283.85690476190473,-1.75,3.808333333333337
2024-06-10,61.77916666666667,64.2,1.762404278416195,14.885,57.76916666666667,273.84250000000003,3.9058333333333333,40.76958333333334,61.77916666666667,0,6,0,61.083333333333336,59.583333333333336,65.20416666666667,61.89861111111111,62.50119047619047,15.27297619047619,63.39946428571428,281.2539285714286,0.6958333333333329,2.195833333333333
2024-06-11,59.95416666666667,68.6,4.370849998586648,13.91125,55.8425,260.0758333333333,3.737916666666667,42.30458333333333,59.95416666666667,1,6,0,61.77916666666667,62.833333333333336,66.93333333333334,60.93888888888889,61.50416666666667,14.738035714285715,60.33482142857143,280.2009523809524,-1.8249999999999957,-2.879166666666663
2024-06-12,56.637499999999996,61.9,2.5049190735864904,12.134583333333333,45.90541666666667,257.15500000000003,3.560833333333333,43.928333333333335,56.637499999999996,2,6,0,59.95416666666667,61.083333333333336,68.02083333333333,59.456944444444446,59.8779761904762,13.866190476190477,55.79369047619048,278.79059523809525,-3.316666666666677,-4.44583333333334
2024-06-13,74.04166666666667,83.3,5.783177753410008,21.46166666666667,78.66291666666667,265.63916666666665,3.358333333333333,42.85666666666666,74.04166666666667,3,6,0,56.637499999999996,61.77916666666667,57.275,63.544444444444444,62.27321428571429,15.15077380952381,59.609523809523814,273.64494047619047,17.404166666666676,12.262500000000003
2024-06-14,80.39583333333333,88.5,4.897335492646617,24.87708333333333,89.43374999999999,292.48,4.8237499999999995,44.331250000000004,80.39583333333333,4,6,0,74.04166666666667,59.95416666666667,59.583333333333336,70.35833333333333,65.24642857142858,16.746547619047618,64.19083333333333,270.4660119047619,6.354166666666657,20.441666666666656
2024-06-15,83.49583333333334,89.5,3.1716789089454354,26.540833333333335,101.41250000000001,286.22166666666664,4.417916666666667,51.05166666666667,83.49583333333334,5,6,1,80.39583333333333,56.637499999999996,62.833333333333336,79.31111111111112,68.19821428571429,18.331309523809523,69.5235119047619,272.05559523809524,3.1000000000000085,26.85833333333334
